seed,reg_lambda,reg_alpha,mcs,train_ic,oos_ic,ic_gap,ic_gap_ratio,oos_ic_ir
0,3.0,0.2,65,0.25903620859370635,0.1243239395835614,0.13471226901014494,0.5200518867284639,7.539923748711534
0,3.0,0.2,80,0.24992317994729957,0.1245525841185307,0.12537059582876886,0.5016365262926205,8.181356519778957
0,3.0,0.3,30,0.2774270680370014,0.113870520640075,0.1635565473969264,0.5895479073264485,5.511463359793622
0,3.0,0.3,50,0.2644190490699204,0.11814960505137981,0.1462694440185406,0.5531728690993913,6.36062883910552
0,3.0,0.3,65,0.2547947556510949,0.125594094448377,0.1292006612027179,0.5070773959713668,8.288136436014327
0,3.0,0.3,80,0.25076798462193045,0.12401060951245022,0.12675737510948024,0.5054767070867742,8.735813305471181
0,3.0,0.5,30,0.2887116542353428,0.1131383769344457,0.17557327730089708,0.6081267407299701,4.82282064599124
0,3.0,0.5,50,0.2590714520990235,0.11489887763356359,0.1441725744654599,0.5564973419392947,5.759936495520935
0,3.0,0.5,65,0.2558853259120664,0.1255253311760542,0.13035999473601223,0.5094469339785812,8.763957621474878
0,3.0,0.5,80,0.2507496110298282,0.12693774370883498,0.1238118673209932,0.49376693671626487,7.91604073468453
0,3.0,0.8,30,0.28872274997935077,0.11610077219544479,0.17262197778390598,0.5978814547736601,5.044703527567449
0,3.0,0.8,50,0.2629999780585379,0.11998593873467231,0.1430140393238656,0.5437796625672489,6.093113933981421
0,3.0,0.8,65,0.2594926585671812,0.12325074999157311,0.13624190857560808,0.5250318422412549,8.614796363417197
0,3.0,0.8,80,0.2498795682084114,0.12661609988691686,0.12326346832149454,0.49329150520496723,7.271867931794461
0,3.0,1.0,30,0.2896856605140442,0.11466599586949844,0.17501966464454577,0.6041709635678038,4.6560963528019155
0,3.0,1.0,50,0.26533497660658173,0.1184381824530307,0.14689679415355103,0.553627704994801,5.402064609776994
0,3.0,1.0,65,0.2579288103938643,0.12099861547676123,0.13693019491710307,0.5308836756468072,7.364852100974733
0,3.0,1.0,80,0.24977395442591285,0.12269794946411708,0.12707600496179577,0.508764035280903,6.80599359611267
0,3.0,1.5,30,0.2864742382126269,0.11090703613431847,0.17556720207830845,0.6128551145600707,4.454229872912114
0,3.0,1.5,50,0.2718384144263227,0.11625775608053408,0.15558065834578866,0.5723277141463617,5.219569828490836
0,3.0,1.5,65,0.26508225808527175,0.12213509669181974,0.142947161393452,0.53925586127861,7.039065728107401
0,3.0,1.5,80,0.2513846530522855,0.12290363083254874,0.12848102221973678,0.5110933410601403,8.963479866276558
0,4.0,0.2,30,0.2884897616509571,0.1162583418786598,0.17223141977229728,0.5970105101361607,4.711226333375492
0,4.0,0.2,50,0.26116478322857584,0.1161325474882163,0.14503223574035953,0.5553284556494926,6.432801305073614
0,4.0,0.2,65,0.2554698414962291,0.12740216402062896,0.12806767747560013,0.5013025284140653,8.638634568457702
0,4.0,0.2,80,0.24317466657401132,0.1251458507300163,0.11802881584399502,0.4853664138080453,7.501058615043788
0,4.0,0.3,30,0.2819934512947115,0.11477386927625462,0.16721958201845688,0.5929910118504689,5.081748082955219
0,4.0,0.3,50,0.26354245397132625,0.11836532861281775,0.14517712535850852,0.5508680790166125,5.791651433117141
0,4.0,0.3,65,0.2571692641910438,0.12656487005763978,0.13060439413340402,0.5078538236061588,8.543378899359995
0,4.0,0.3,80,0.25113743394387494,0.12665186927325128,0.12448556467062366,0.4956870137426192,7.564221970361757
0,4.0,0.5,30,0.28838970407369946,0.11649301011039508,0.17189669396330437,0.5960569726836548,5.482085700271454
0,4.0,0.5,50,0.2642104544816824,0.12100529895022967,0.14320515553145274,0.5420116922034253,6.539399596759315
0,4.0,0.5,65,0.2613506404736679,0.12405029156975762,0.1373003489039103,0.5253491962180358,7.529671728427087
0,4.0,0.5,80,0.2505333350523452,0.12559004249987715,0.12494329255246805,0.4987092537061506,8.16098955645962
0,4.0,0.8,30,0.27877287757123553,0.11600354593696187,0.16276933163427365,0.5838779333641624,5.618471045373311
0,4.0,0.8,50,0.26875670743986185,0.11775324632871749,0.15100346111114438,0.5618593208317733,6.488613738301299
0,4.0,0.8,65,0.26371277872586557,0.12262923029259439,0.1410835484332712,0.5349894271901409,6.948691704869245
0,4.0,0.8,80,0.25008218690018313,0.12269120796683053,0.1273909789333526,0.5093964528717072,8.50212272874497
